DIRECTORIO	FEX_C	REGION	DIA_REFERENCIA_2	clase	P424	P4030S1	P4030S1A1	P4030S5	P4030S3	P4030S4	P4030S4A1	P4030S2	P4020
2925101	235.970686998196	2	5	1	2	1	3	1	1	1	2	1	3
2925103	410.538907117992	2	4	1	2	1	3	1	1	1	2	1	3
2925104	412.277633394898	2	4	1	2	1	3	1	1	1	2	1	3
2925105	247.059325610011	2	5	1	2	1	3	1	1	1	2	1	3
2925106	306.409817821173	2	5	1	2	1	3	1	1	1	2	2	3
2925107	580.295815624673	2	1	1	2	1	2	1	1	1	7	1	3
2925108	441.438475288073	2	1	1	2	1	2	1	1	1	7	1	3
2925109	220.818888993452	2	2	1	2	1	2	1	1	1	7	1	3
2925110	274.24322042516	2	2	1	2	1	2	1	1	1	7	1	3
2925111	399.164002081511	2	3	1	2	1	3	1	1	1	2	1	3
2925112	438.921491971754	2	4	1	2	1	3	1	1	1	2	1	3
2925113	531.624140685876	2	4	1	2	1	3	1	1	1	2	1	3
2925114	334.130379447442	2	5	1	2	1	3	1	1	1	2	1	3
2925115	249.195781072424	2	5	1	1	1	3	1	1	1	2	2	3
2925116	310.503281407501	2	2	1	2	1	2	1	1	1	2	1	3
2925117	436.664949676098	2	3	1	2	1	2	1	1	1	2	1	3
2925118	369.849467846551	2	3	1	2	1	2	1	1	1	2	1	3
2925119	289.81734778145	2	1	1	2	1	2	1	1	1	2	1	3
2925120	292.725704700208	2	6	1	2	1	3	1	1	1	2	1	3
2925121	531.624140685876	2	4	1	2	1	3	1	1	1	2	1	3
2925123	360.817036391196	2	5	1	2	1	3	1	1	1	2	1	3
2925124	281.79672248387	2	5	1	2	1	3	1	1	1	2	1	3
2925126	377.742535641191	2	5	1	2	1	3	1	1	1	2	1	3
2925127	535.444539147933	2	1	1	2	1	3	1	1	1	6	1	3
2925128	309.303602570744	2	2	1	2	1	3	1	1	1	6	2	6
2925129	439.469951850865	2	3	1	2	1	2	1	1	1	6	2	3
2925130	307.653418119991	2	3	1	2	1	2	1	1	1	6	2	3
2925131	475.075529585517	2	1	1	1	1	2	1	1	1	3	1	3
2925132	563.703921292666	2	1	1	2	1	2	1	1	1	3	1	3
2925133	319.189350921506	2	3	1	2	1	6	1	1	1	2	1	1
2925134	307.653418119991	2	3	1	2	1	6	1	1	1	2	1	3
2925138	591.039567143952	2	7	1	1	1	3	1	1	1	2	1	3
2925139	363.004422211703	2	1	1	2	1	2	1	1	1	3	1	3
2925140	245.245500905933	2	2	1	1	1	2	1	1	1	3	1	3
2925141	425.750113307897	2	7	1	2	1	2	1	1	1	3	1	3
2925142	1615.9006558164	2	7	1	2	1	2	1	1	1	2	2	3
2925143	410.723098653393	2	1	1	1	1	2	1	1	1	2	2	3
2925144	464.207244428407	2	7	1	1	1	2	1	1	1	3	1	3
2925145	809.752569946552	2	2	1	2	1	2	1	1	1	2	1	3
2925146	218.24599850532	2	3	1	2	1	5	1	1	1	2	1	3
2925147	330.040142264358	2	3	1	2	1	5	1	1	1	2	1	3
2925148	281.645466856161	2	3	1	2	1	5	1	1	1	2	1	3
2925149	373.984728812197	2	3	1	2	1	5	1	1	1	2	1	3
2925150	255.519805304403	2	5	1	2	1	5	1	1	1	2	1	1
2925151	352.194040160748	2	6	1	1	1	3	1	1	1	2	1	3
2925152	292.725704700208	2	6	1	1	1	3	1	1	1	2	1	3
2925153	428.80546930699	2	6	1	2	1	3	1	1	1	2	1	6
2925154	288.838252310168	2	4	1	2	1	5	1	1	1	2	1	3
2925155	391.593544965052	2	4	1	2	1	5	1	1	1	2	1	3
2925156	305.382643533262	2	5	1	2	1	3	1	1	1	2	1	3
2925157	150.686321854382	2	5	1	1	1	3	1	1	1	2	2	3
2925158	211.130771497838	2	5	1	1	1	3	1	1	1	2	2	3
2925159	287.527466348953	2	5	1	2	1	5	1	1	1	2	1	3
2925160	491.788278339961	2	7	1	2	1	2	1	1	1	3	1	3
2925162	271.952639516762	2	6	1	2	1	3	1	1	1	2	2	3
2925163	166.747104794846	2	6	1	1	1	3	1	1	1	2	1	3
2925168	33.505530614223	4	7	1	1	1	1	2	2	1	3	2	5
2925169	72.8672190562132	4	1	1	1	1	1	2	2	1	3	2	3
2925170	43.0140274651895	4	2	1	1	1	1	2	2	1	3	2	3
2925171	45.464085981998	4	3	1	1	1	2	1	2	1	3	2	3
2925172	39.9124658071885	4	4	1	1	1	2	2	2	1	3	2	3
2925174	36.3861471199211	4	7	1	1	1	1	2	2	1	3	2	6
2925177	43.2070181441506	4	2	1	1	1	1	1	1	1	3	2	3
2925179	45.9936122921722	4	4	1	1	1	2	1	1	1	3	2	6
2925180	57.7772759354558	4	6	1	1	1	2	2	2	1	3	2	6
2925181	292.082918722767	3	1	1	1	1	2	1	1	1	3	1	3
2925182	337.299433920104	3	2	1	2	1	2	1	1	1	3	1	3
2925183	151.144498092059	3	4	1	2	1	1	1	1	1	3	2	3
2925184	247.754415470562	3	5	1	2	1	2	1	1	1	3	2	3
2925185	445.744418572937	3	2	1	1	1	2	1	1	1	3	1	3
2925186	323.045390966259	3	3	1	2	1	3	1	1	1	3	2	3
2925187	73.0118084331482	1	6	1	1	1	2	1	1	1	3	1	6
2925188	110.877878285805	1	4	1	2	1	1	1	1	1	3	1	6
2925189	66.2349451307086	1	5	1	1	1	1	1	1	1	3	1	6
2925190	65.7555519812997	1	7	1	2	1	1	1	1	1	3	1	3
2925191	101.947788543761	1	4	1	2	1	2	1	1	1	2	1	6
2925192	75.2692741953512	1	5	1	2	1	2	1	1	1	3	1	6
2925193	169.671381906967	1	3	1	1	1	3	1	1	1	3	1	6
2925194	85.1808477394117	1	6	1	2	1	3	1	1	1	3	1	3
2925195	161.989078767023	1	3	1	1	1	3	1	1	1	3	1	3
2925196	131.498432512064	1	4	1	1	1	3	1	1	1	3	1	3
2925197	104.016622097975	1	5	1	2	1	3	1	1	1	3	1	3
2925198	111.995021328319	1	6	1	1	1	1	1	2	1	3	1	6
2925199	282.506127536908	1	1	1	1	1	1	1	2	1	3	1	3
2925200	171.593288603036	1	2	1	1	1	1	1	2	1	3	1	6
2925201	179.776626614396	1	3	1	1	1	1	1	2	1	3	1	6
2925202	221.165715114854	1	4	1	1	1	1	1	2	1	3	1	6
2925203	188.297131907109	1	4	1	1	1	1	1	2	1	3	1	6
2925204	172.234255261229	1	5	1	1	1	1	2	2	1	3	1	7
2925205	182.995029921575	1	1	1	1	1	1	1	2	1	3	1	6
2925206	194.459890801913	1	2	1	1	1	1	1	2	1	3	1	6
2925207	175.585064524512	1	3	1	1	1	1	1	2	1	3	1	6
2925208	156.194603646405	1	7	1	1	1	2	1	1	1	3	1	3
2925209	281.044097945836	1	1	1	1	1	1	1	1	1	3	1	6
2925210	135.638794920647	1	2	1	1	1	2	1	1	1	2	1	6
2925211	108.14669886672	1	2	1	1	1	2	1	1	1	3	1	6
2925212	104.336770772091	1	3	1	1	1	2	1	1	1	3	1	6
2925213	155.192279617183	1	4	1	1	1	2	1	1	1	3	2	6
2925214	158.063760826291	1	5	1	1	1	1	1	1	1	3	1	3
2925215	133.9050893437	1	6	1	1	1	2	1	1	1	3	1	6
2925216	158.607658830577	1	6	1	1	1	2	1	1	1	3	1	6
2925217	248.487905778859	1	7	1	1	1	1	1	1	1	3	1	6
2925218	147.052073624962	1	2	1	1	1	2	1	1	1	3	1	6
2925219	108.604048263512	1	2	1	1	1	2	1	1	1	3	1	6
2925220	131.384935284376	1	3	1	1	1	2	1	1	1	3	1	6
2925221	174.50517139815	1	5	1	1	1	2	1	1	1	3	1	6
2925222	10.4124886391909	6	3	1	2	1	4	1	1	1	3	2	3
2925223	8.82935572096735	6	3	1	2	1	4	2	1	1	3	2	3
2925224	6.8380919834616	6	3	1	2	1	4	2	1	1	3	2	3
2925225	11.7450247254447	6	5	1	2	1	2	1	2	1	3	2	6
2925226	8.32999091135271	6	5	1	2	1	2	2	2	1	3	2	3
2925227	10.4497313803809	6	6	1	1	1	2	2	2	1	3	2	6
2925228	12.4949863670291	6	6	1	2	1	2	2	2	1	3	2	3
2925229	102.496533147902	1	4	1	1	1	2	1	1	1	3	1	3
2925230	133.186631750258	1	5	1	2	1	2	1	1	1	3	1	3
2925231	111.262802093885	1	6	1	1	1	2	1	1	1	3	1	6
2925232	485.471867665598	3	6	2	1	1	2	1	2	2		2	6
2925233	708.358222959789	3	7	2	1	1	2	1	2	2		2	3
2925234	303.719892651185	3	1	2	1	1	2	1	2	2		2	3
2925235	1978.01809622157	3	3	2	1	1	2	1	2	2		2	6
2925236	360.223801741251	3	7	2	1	1	2	2	2	2		2	6
2925237	454.957007578642	3	1	2	1	1	1	2	2	2		2	6
2925238	413.693804972138	3	2	2	1	1	2	2	2	2		2	3
2925239	455.54356155406	3	7	2	1	1	2	1	2	2		2	6
2925240	359.521555264135	3	1	2	1	1	1	1	2	2		2	6
2925241	240.635333146989	3	2	2	1	1	1	1	2	2		2	6
2925242	1564.12966545543	3	3	2	1	1	1	2	2	2		2	6
2925243	308.763258635358	3	6	2	1	1	1	1	2	2		2	6
2925244	360.223801741251	3	7	2	1	1	1	1	2	2		2	7
2925245	203.457408259591	3	2	2	1	1	1	2	2	2		2	7
2925246	11.6108126448676	6	2	1	2	1	4	2	1	1	3	2	3
2925247	22.6064729772119	6	2	1	2	1	4	2	1	1	3	2	3
2925248	27.0682093258216	6	2	1	3	1	4	2	2	1	3	2	3
2925249	9.78157823000504	6	4	1	1	1	2	2	2	1	3	2	3
2925250	16.2440158912795	6	4	1	2	1	4	2	1	1	3	2	3
2925251	22.4898989911041	6	4	1	1	1	4	2	2	1	3	2	3
2925252	5.47047358676928	6	5	1	1	1	2	1	2	1	3	2	3
2925253	14.95933479436	6	6	1	2	1	2	1	2	1	3	2	6
2925254	14.95933479436	6	6	1	2	1	1	2	2	1	3	2	3
2925255	27.3095864793099	6	6	1	2	1	1	2	2	1	3	2	3
2925256	263.178605046875	2	4	1	1	1	1	1	1	1	3	1	3
2925257	177.771802297951	2	5	1	1	1	1	1	1	1	3	1	3
2925258	282.630709907971	2	4	1	2	1	1	1	1	1	3	1	3
2925260	257.344223559753	2	6	1	1	1	1	1	1	1	3	1	3
2925261	372.27052980906	2	6	1	2	1	1	1	1	1	3	1	3
2925262	206.649129702289	2	7	1	1	1	1	1	1	1	3	1	6
2925263	535.062232097541	4	2	1	2	1	4	1	1	1	3	2	3
2925264	239.782933156872	4	3	1	2	1	1	1	1	1	3	1	3
2925265	361.383432390953	4	6	1	2	1	1	1	1	1	3	1	6
2925266	320.897654630978	4	2	1	1	1	1	1	1	1	3	1	3
2925267	175.365199212478	4	6	1	2	1	1	1	1	1	3	1	3
2925268	316.898037547454	4	3	1	1	1	1	1	1	1	3	1	6
2925269	189.900221966539	4	2	1	2	1	6	1	1	1	3	2	1
2925270	160.626599108919	4	7	1	1	1	2	1	1	1	3	1	6
2925271	188.652410940941	4	7	1	2	1	2	1	1	1	3	1	3
2925272	239.782933156872	4	3	1	2	1	1	1	1	1	3	1	6
2925273	343.686233737562	4	3	1	2	1	1	1	1	1	3	1	3
2925274	713.907822361898	4	2	1	2	1	3	1	1	1	3	2	3
2925275	241.079459336125	4	4	1	2	1	1	1	1	1	3	2	3
2925276	260.97092252821	4	5	1	2	1	1	1	1	1	3	1	6
2925277	108.03671833988	4	7	1	2	1	6	1	1	1	3	2	3
2925278	208.980654744764	4	2	1	2	1	6	1	1	1	3	1	3
2925279	205.355286053399	4	4	1	1	1	1	1	1	1	3	2	3
2925280	338.584067297016	4	1	1	2	1	6	1	1	1	3	1	3
2925282	73.2156727178309	3	4	1	1	1	3	1	1	1	3	1	3
2925283	104.513536094639	3	4	1	2	1	3	1	1	1	3	1	3
2925284	148.368970170055	3	5	1	1	1	3	1	1	1	3	1	3
2925285	148.937327237517	3	5	1	1	1	3	1	1	1	3	1	3
2925286	103.59475781246	3	6	1	1	1	3	1	1	1	3	1	3
2925287	151.106478186927	3	6	1	1	1	3	1	1	1	3	1	3
2925288	81.8009802959586	3	4	1	1	1	3	1	1	1	3	1	3
2925289	131.490414048168	3	5	1	2	1	3	1	1	1	3	1	3
2925290	137.29935288503	3	6	1	1	1	3	1	1	1	3	1	3
2925291	108.169607053776	3	6	1	1	1	3	1	1	1	2	1	6
2925292	115.139017277864	3	7	1	1	1	3	1	1	1	3	1	3
2925293	80.7133440880188	4	7	1	1	1	4	1	1	1	3	2	3
2925294	141.504624480097	4	1	1	2	1	4	1	1	1	3	2	3
2925295	78.5911653936461	4	2	1	1	1	4	1	1	1	3	2	3
2925296	83.7967221377672	4	4	1	1	1	3	1	1	1	3	1	3
2925297	155.271312566297	4	5	1	1	1	3	1	1	1	3	1	3
2925298	89.4375919319472	4	6	1	2	1	4	1	1	1	3	2	3
2925299	66.860301289679	4	7	1	1	1	4	1	1	1	3	1	3
2925300	133.716738241545	4	1	1	2	1	4	1	1	1	3	2	3
2925301	98.880454816239	4	2	1	1	1	4	1	1	1	3	2	3
2925302	117.955564176209	4	3	1	1	1	3	1	1	1	3	2	3
2925303	201.35496382016	4	5	1	2	1	3	1	1	1	3	2	3
2925304	57.5650066024982	4	2	1	1	1	1	2	2	1	3	2	3
2925305	62.2349732431067	4	3	1	1	1	1	2	2	1	3	2	6
2925306	48.8281706211664	4	4	1	1	1	1	2	2	1	3	2	3
2925307	56.4755348577568	4	6	1	1	1	1	2	2	1	3	2	3
2925309	62.2019984544919	4	1	1	1	1	1	2	2	1	3	2	7
2925310	57.967332939491	4	1	1	1	1	1	2	2	2		2	6
2925311	50.9014531962625	4	2	1	1	1	1	2	2	1	3	2	3
2925312	49.1427912606141	4	3	1	1	1	1	2	2	1	3	2	3
2925313	53.9620724511744	4	4	1	1	1	1	2	2	1	3	2	6
2925314	91.9901300229081	4	5	1	1	1	1	2	2	1	3	2	6
2925316	29.5711498389312	4	7	1	1	1	2	2	2	1	3	2	3
2925317	43.6011258490044	4	7	1	1	1	1	2	2	2		2	6
2925318	258.958448186967	5	4	1	2	1	2	1	1	1	3	1	4
2925319	299.18959531392	5	5	1	3	1	2	1	1	1	3	1	4
2925320	431.56235619508	5	3	1	2	1	3	1	1	1	3	1	4
2925321	331.037933675034	5	6	1	3	1	2	1	1	1	3	1	3
2925322	316.832756860718	5	6	1	3	1	2	1	1	1	3	1	4
2925323	471.355764011965	5	3	1	2	1	3	1	1	1	3	2	6
2925324	337.237791014076	5	4	1	2	1	2	1	1	1	3	1	3
2925325	278.433519692237	5	4	1	3	1	2	1	1	1	3	2	3
2925326	279.303125485856	5	5	1	3	1	2	1	1	1	2	2	5
2925327	328.534171149552	5	6	1	2	1	2	1	1	1	3	1	3
2925328	330.772065568592	5	5	1	3	1	2	1	1	1	3	1	5
2925329	277.825073202394	5	2	1	1	1	3	1	1	1	3	1	3
2925330	284.444114035109	5	4	1	1	1	2	1	1	1	2	1	3
2925331	330.772065568592	5	5	1	3	1	2	1	1	1	3	1	2
2925332	290.539324896247	5	6	1	3	1	2	1	1	1	2	2	5
2925333	269.24122082141	5	5	1	2	1	3	1	1	1	2	1	3
2925334	321.952319340795	5	5	1	3	1	2	1	1	1	3	1	3
2925336	256.649221273026	5	4	1	2	1	2	1	1	1	3	1	3
2925337	323.552294421966	5	4	1	3	1	2	1	1	1	3	1	3
2925338	272.277010990113	5	4	1	3	1	2	1	1	1	3	1	3
2925339	331.835441914416	5	4	1	2	1	2	1	1	1	3	1	3
2925340	340.198889378028	5	5	1	2	1	2	1	1	1	3	1	3
2925341	331.037933675034	5	5	1	2	1	2	1	1	1	3	1	3
2925342	278.433519692237	5	4	1	3	1	2	1	1	1	3	1	3
2925343	279.303125485856	5	5	1	1	1	2	1	1	1	3	1	6
2925344	292.683084873918	5	6	1	3	1	2	1	1	1	3	1	3
2925345	331.982551640666	5	6	1	2	1	2	1	1	1	3	1	3
2925346	329.093520469364	5	5	1	2	1	2	1	1	1	3	1	3
2925347	245.076441238762	5	5	1	1	1	2	1	1	1	3	1	1
2925348	298.66152819224	5	6	1	3	1	2	1	1	1	3	1	1
2925349	468.184188811628	5	3	1	2	1	3	1	1	1	3	1	3
2925350	250.004943708692	5	4	1	2	1	2	1	1	1	3	1	3
2925351	233.639291089927	5	5	1	2	1	2	1	1	1	3	1	6
2925352	362.647872667008	5	6	1	1	1	2	1	1	1	3	1	5
2925353	337.669014879272	5	6	1	1	1	2	1	1	1	3	1	3
2925354	235.395755773497	5	1	1	2	1	3	1	1	1	3	1	3
2925355	266.13083110132	5	4	1	2	1	2	1	1	1	3	1	3
2925356	317.179139791451	5	5	1	2	1	2	1	1	1	3	1	3
2925357	343.891383418137	5	6	1	2	1	2	1	1	1	3	1	3
2925358	347.007305133167	5	6	1	2	1	2	1	1	1	3	1	3
2925359	265.092482570542	5	1	1	2	1	3	1	1	1	3	2	5
2925360	250.256262942977	5	4	1	2	1	2	1	1	1	3	1	4
2925361	293.785788787549	5	5	1	2	1	2	1	1	1	3	1	4
2925362	346.716116254683	5	6	1	2	1	2	1	1	1	3	1	6
2925363	262.154973263297	5	1	1	2	1	3	1	1	1	3	1	3
2925365	274.255679438455	5	1	1	2	1	3	1	1	1	3	1	3
2925366	254.383115963782	5	2	1	1	1	2	1	1	1	3	1	3
2925367	315.981367107699	5	2	1	1	1	2	1	1	1	3	1	3
2925368	307.747142526479	5	5	1	2	1	3	1	1	1	3	2	3
2925369	372.895076375918	5	5	1	1	1	3	1	1	1	3	1	3
2925370	275.930086363498	5	6	1	2	1	3	1	1	1	3	1	3
2925371	262.895468142118	5	1	1	2	1	3	1	1	1	3	2	1
2925372	309.442898251993	5	4	1	1	1	2	1	1	1	3	1	3
2925373	278.017484389614	5	7	1	2	1	3	1	1	1	3	1	3
2925374	228.132641131578	5	1	1	2	1	3	1	1	1	3	1	3
2925375	307.506522741679	5	1	1	2	1	3	1	1	1	3	1	3
2925376	209.522162887312	5	2	1	1	1	2	1	1	1	3	1	6
2925377	326.023935653944	5	4	1	1	1	2	1	1	1	3	1	3
2925379	307.481274420037	5	5	1	1	1	3	1	1	1	3	1	3
2925380	267.807883067505	5	5	1	2	1	3	1	1	1	3	1	3
2925382	331.11327504379	5	6	1	2	1	3	1	1	1	3	1	3
2925383	252.839212475653	5	1	1	1	1	3	1	1	1	3	1	3
2925384	281.995276834288	5	1	1	2	1	3	1	1	1	3	1	3
2925385	272.732665864027	5	2	1	1	1	2	1	1	1	3	1	6
2925386	298.22904289186	5	4	1	1	1	2	1	1	1	3	1	6
2925387	290.355784236286	5	5	1	2	1	3	1	1	1	3	1	3
2925388	293.200756236965	5	6	1	2	1	3	1	1	1	3	1	3
2925389	314.888343655048	5	6	1	1	1	3	1	1	1	3	1	4
2925390	259.731478596051	5	1	1	1	1	3	1	1	1	3	2	3
2925391	244.482118228029	5	4	1	1	1	2	1	1	1	3	1	6
2925392	279.571782167043	5	1	1	3	1	2	1	1	1	3	1	6
2925393	286.207844461482	5	7	1	1	1	2	1	1	1	3	1	6
2925394	246.58103276227	5	2	1	2	1	2	1	1	1	3	1	6
2925395	255.671124862104	5	6	1	2	1	4	1	1	1	3	1	4
2925396	308.306491846291	5	5	1	2	1	4	1	1	1	3	1	4
2925397	314.888343655048	5	5	1	2	1	4	1	1	1	3	1	2
2925398	281.995276834288	5	1	1	2	1	2	1	1	1	3	1	6
2925401	410.638754036841	5	3	1	2	1	4	1	1	1	3	2	3
2925402	544.529461119674	5	3	1	2	1	4	1	1	1	3	1	3
2925403	467.516661472893	5	3	1	2	1	4	1	1	1	3	1	1
2925404	295.763086864016	5	2	1	2	1	2	1	1	1	3	1	3
2925405	282.672380727065	5	2	1	2	1	2	1	1	1	3	1	3
2925406	287.829390500282	5	5	1	2	1	4	1	1	1	3	1	3
2925407	265.09794867154	5	6	1	2	1	4	1	1	1	3	1	4
2925408	265.717773390167	5	7	1	2	1	2	1	1	1	3	1	6
2925409	294.946293547595	5	7	1	2	1	2	1	1	1	3	1	3
2925410	280.836588216676	5	2	1	2	1	2	1	1	1	3	1	2
2925411	246.675778471631	5	1	1	2	1	2	1	1	1	3	1	1
2925412	303.088684785465	5	7	1	3	1	2	1	1	1	3	1	6
2925413	322.983967487637	5	7	1	3	1	2	1	1	1	3	1	6
2925414	384.418008870657	5	7	1	3	1	2	1	1	1	3	1	6
2925415	292.94895298036	5	6	1	2	1	4	1	1	1	3	1	3
2925416	267.974206544209	5	1	1	2	1	3	1	1	1	3	1	4
2925417	286.097538438381	5	2	1	2	1	3	1	1	1	3	1	5
2925418	517.683671075146	5	3	1	2	1	4	1	1	1	3	1	3
2925419	410.638754036841	5	3	1	2	1	4	1	1	1	3	1	3
2925420	256.649221273026	5	4	1	2	1	4	1	1	1	3	1	1
2925421	246.58103276227	5	2	1	2	1	3	1	1	1	3	1	3
2925422	317.244686438574	5	4	1	2	1	4	1	1	1	3	1	5
2925424	293.676872605205	5	2	1	2	1	3	1	1	1	3	1	3
2925425	485.810227186434	5	3	1	2	1	4	1	1	1	3	1	1
2925426	233.104543137056	5	1	1	2	1	3	1	1	1	3	1	1
2925427	495.494735529983	5	3	1	1	1	4	1	1	1	3	1	3
2925428	289.521995821548	5	4	1	1	1	4	1	1	1	3	1	3
2925429	217.026778501599	5	1	1	3	1	1	1	1	1	3	1	3
2925430	227.285309856144	5	1	1	2	1	1	1	1	1	3	1	3
2925431	323.552294421966	5	4	1	1	1	4	1	1	1	3	1	3
2925432	280.984058060425	5	4	1	1	1	4	1	1	1	3	1	3
2925433	298.320318717043	5	5	1	1	1	4	1	1	1	3	1	3
2925434	292.982321899275	5	1	1	1	1	1	1	1	1	3	1	6
2925435	247.340112497577	5	1	1	1	1	1	1	1	1	3	2	3
2925436	239.600515101744	5	1	1	2	1	1	1	1	1	3	1	3
2925437	292.907897154122	5	2	1	2	1	1	1	1	1	3	1	1
2925438	300.546425232574	5	7	1	1	1	1	1	1	1	3	1	3
2925439	286.207844461482	5	7	1	2	1	1	1	1	1	3	1	3
2925440	264.658017782478	5	3	1	2	1	2	1	1	1	3	1	3
2925441	337.056394195667	5	6	1	2	1	2	1	1	1	3	1	4
2925442	292.841249020222	5	2	1	2	1	3	1	1	1	3	1	3
2925443	236.906973482793	5	2	1	2	1	2	1	1	1	3	1	3
2925444	292.841249020222	5	2	1	2	1	2	1	1	1	3	1	3
2925445	279.303125485856	5	6	1	3	1	2	1	1	1	3	1	3
2925447	196.082812897792	1	7	1	1	1	2	1	1	1	3	1	3
2925448	160.034855683891	1	2	1	1	1	2	1	1	1	3	1	3
2925450	319.153866531113	2	1	1	2	1	2	1	1	1	2	2	5
2925451	209.20220737916	2	3	1	1	1	2	1	1	1	2	1	3
2925452	342.196768939649	2	4	1	1	1	4	1	1	1	2	1	3
2925453	129.062062725101	2	5	1	1	1	4	1	1	1	2	2	3
2925454	288.061429253448	2	1	1	1	1	2	1	1	1	2	1	5
2925455	276.786806066848	2	2	1	1	1	2	1	1	1	2	1	6
2925456	361.90123066703	2	4	1	1	1	4	1	1	1	2	2	3
2925457	232.388415219312	2	2	1	2	1	2	1	1	1	2	1	6
2925458	279.58196940779	2	4	1	1	1	2	1	1	1	2	1	3
2925459	215.361929528446	2	5	1	1	1	2	1	1	1	2	1	3
2925460	464.01257020098	2	6	1	2	1	2	1	1	1	2	1	3
2925461	335.559623641134	2	7	1	2	1	2	1	1	1	2	1	3
2925462	410.612403396041	2	3	1	2	1	2	1	1	1	2	1	3
2925463	260.090152912241	1	6	1	2	1	1	1	1	1	3	1	3
2925464	449.048197859839	1	7	1	1	1	1	1	1	1	3	1	6
2925465	536.871306390994	1	1	1	2	1	1	1	1	1	3	1	6
2925466	300.968809292895	1	4	1	1	1	1	1	1	1	3	1	6
2925468	453.298744830481	1	1	1	1	1	1	1	1	1	3	1	6
2925469	345.684047191826	1	3	1	2	1	1	1	1	1	3	1	6
2925470	449.048197859839	1	7	1	1	1	1	1	1	1	3	1	3
2925471	489.800291996552	1	7	1	1	1	4	1	1	1	3	1	3
2925472	461.270318110843	1	2	1	1	1	1	1	2	1	3	1	3
2925473	454.638182048383	1	2	1	1	1	4	1	1	1	3	1	3
2925475	337.53485144979	1	3	1	1	1	1	1	1	1	3	1	3
2925476	319.089284687364	1	4	1	2	1	3	1	1	1	3	1	3
2925478	269.875449755446	1	5	1	2	1	4	1	1	1	3	1	3
2925480	588.60734472015	1	7	1	1	1	4	1	1	1	3	1	3
2925481	303.134820452996	1	2	1	2	1	4	1	1	1	3	1	3
2925482	346.107076792859	1	3	1	2	1	3	1	1	1	3	1	3
2925483	290.474513040067	1	4	1	1	1	1	1	1	1	3	2	6
2925484	361.27183069929	1	4	1	2	1	4	1	1	1	3	1	3
2925485	337.127549465467	1	5	1	1	1	1	1	1	1	3	1	6
2925486	287.390846630297	1	6	1	1	1	1	1	1	1	3	1	3
2925488	406.217946222154	1	7	1	1	1	3	1	1	1	3	1	3
2925489	291.491042312409	1	6	1	2	1	3	1	1	1	3	1	3
2925490	193.47898274424	1	5	1	1	1	2	1	1	1	3	1	3
2925491	305.97827554715	1	5	1	2	1	1	1	1	1	3	2	6
2925492	346.107076792859	1	5	1	2	1	3	1	1	1	3	1	3
2925493	87.5997776296739	1	5	1	1	1	1	1	1	1	3	1	6
2925494	74.063590192207	1	5	1	1	1	2	1	1	1	3	1	3
2925495	87.5368148269929	1	6	1	1	1	1	2	1	1	3	1	3
2925496	134.271494608495	1	7	1	1	1	1	1	1	1	3	1	6
2925498	128.63629984167	1	3	1	1	1	1	1	1	1	3	1	3
2925499	177.311572555415	1	4	1	1	1	2	1	1	1	3	1	6
2925500	73.0283991132813	1	6	1	1	1	1	1	1	1	2	1	3
2925501	130.119218688653	1	2	1	1	1	2	1	1	1	2	1	3
2925502	100.801365657551	1	3	1	1	1	2	1	1	1	2	1	6
2925503	217.056131292202	1	1	1	2	1	2	1	1	1	2	1	6
2925504	103.367972653538	1	4	1	1	1	2	1	1	1	2	1	6
2925505	141.276659315438	1	5	1	1	1	1	1	1	1	2	1	6
2925506	211.984765675226	3	7	1	1	1	2	1	1	1	3	1	3
2925507	282.489968873554	3	7	1	1	1	2	1	1	1	3	1	3
2925508	236.409877376675	3	2	1	1	1	1	1	1	1	3	1	6
2925509	319.175338852347	3	3	1	1	1	1	1	1	1	3	1	6
2925510	114.49941969031	3	4	1	1	1	1	1	1	1	3	1	6
2925511	119.72536210647	3	6	1	1	1	2	1	1	1	3	1	3
2925512	284.347333896501	3	4	1	1	1	2	1	1	1	3	1	6
2925513	212.04018591348	3	5	1	1	1	2	1	1	1	3	1	4
2925514	198.855628952539	3	7	1	1	1	2	1	1	1	3	1	4
2925515	264.49486851382	3	7	1	1	1	2	1	1	1	3	1	3
2925516	345.718318903118	3	1	1	1	1	2	1	1	1	3	1	3
2925517	255.178368631157	3	3	1	1	1	2	1	1	1	3	1	6
2925518	348.202700696249	3	1	1	2	1	2	1	1	1	3	1	6
2925519	104.904989837107	3	4	1	2	1	1	1	1	1	3	1	4
2925520	172.802175097253	3	6	1	1	1	2	1	1	1	3	1	4
2925521	235.148915485906	3	5	1	1	1	3	1	1	1	3	1	3
2925522	272.587130538773	3	7	1	2	1	3	1	1	1	3	1	3
2925523	223.563399821978	3	4	1	1	1	2	1	1	1	3	1	6
2925524	237.352390839133	3	5	1	1	1	2	1	1	1	3	1	3
2925525	197.556573757655	3	6	1	1	1	2	1	1	1	3	1	3
2925526	438.72374464698	3	1	1	1	1	2	1	1	1	3	1	3
2925527	524.659189135168	3	2	1	1	1	2	1	1	1	3	1	6
2925528	324.267979846726	3	3	1	1	1	2	1	1	1	3	1	6
2925529	128.822365238945	2	8	1	1	1	2	1	1	1	3	1	3
2925530	114.233911254074	1	7	1	1	1	1	1	1	1	3	1	6
